Date,E-waste (kt) per Year
2018/1/14,3.841712707
2018/1/15,3.865143012
2018/1/16,3.971556937
2018/1/17,4.052062546
2018/1/18,4.089499195
2018/1/19,4.148891899
2018/1/20,4.208142278
2018/1/21,4.282467089
2018/1/22,4.376476151
2018/1/23,4.4089066
2018/1/24,4.488933135
2018/1/25,4.596587909
2018/1/26,4.632459092
2018/1/27,4.647414342
2018/1/28,4.721578624
2018/1/29,4.780787011
2018/1/30,4.767315363
2018/1/31,4.762482013
2018/2/01,4.780934437
2018/2/02,4.847276856
2018/2/03,4.868554715
2018/2/04,4.817064971
2018/2/05,4.829453984
2018/2/06,4.916068721
2018/2/07,4.979212802
2018/2/08,4.988974067
2018/2/09,5.090181329
2018/2/10,5.179805918
2018/2/11,5.218384259
2018/2/12,5.192777251
2018/2/13,5.1927401
2018/2/14,5.191960383
2018/2/15,5.312378973
2018/2/16,5.29373042
2018/2/17,5.336369487
2018/2/18,5.39019295
2018/2/19,5.479319112
2018/2/20,5.539742473
2018/2/21,5.558044694
2018/2/22,5.484824089
2018/2/23,5.493783875
2018/2/24,5.493881463
2018/2/25,5.558169132
2018/2/26,5.545980237
2018/2/27,5.5380292
2018/2/28,5.538194751
2018/3/01,5.584225868
2018/3/02,5.575428373
2018/3/03,5.589130435
2018/3/04,5.579673759
2018/3/05,5.642463308
2018/3/06,5.667874987
2018/3/07,5.78852643
2018/3/08,5.832264772
2018/3/09,5.90777825
2018/3/10,5.974244065
2018/3/11,6.038575313
2018/3/12,6.039476043
2018/3/13,6.038882966
2018/3/14,5.99209015
2018/3/15,6.030154246
2018/3/16,6.044233899
2018/3/17,6.005116179
2018/3/18,5.944587161
2018/3/19,5.965985993
2018/3/20,6.011979212
2018/3/21,6.072252788
2018/3/22,6.054270258
2018/3/23,6.031321044
2018/3/24,6.048942099
2018/3/25,6.0585213
2018/3/26,6.051384824
2018/3/27,5.997603225
2018/3/28,5.955789439
2018/3/29,5.926269794
2018/3/30,5.9295956
2018/3/31,5.932445059
2018/4/01,6.000365561
2018/4/02,6.01280541
2018/4/03,6.065615219
2018/4/04,6.08411176
2018/4/05,6.156671331
2018/4/06,6.197801163
2018/4/07,6.230586772
2018/4/08,6.21022872
2018/4/09,6.284995352
2018/4/10,6.36814836
2018/4/11,6.457246514
2018/4/12,6.388382599
2018/4/13,6.4052975
2018/4/14,6.427334845
2018/4/15,6.477671256
2018/4/16,6.570621303
2018/4/17,6.625830635
2018/4/18,6.709541731
2018/4/19,6.732843758
2018/4/20,6.806245238
2018/4/21,6.931716105
2018/4/22,7.062188949
2018/4/23,7.059576778
2018/4/24,7.088276876
2018/4/25,7.129450943
2018/4/26,7.195318676
2018/4/27,7.146677352
2018/4/28,7.06125366
2018/4/29,6.975273896
2018/4/30,6.858165607
2018/5/01,6.79713144
2018/5/02,6.79054609
2018/5/03,6.846086947
2018/5/04,6.925928571
2018/5/05,6.999007886
2018/5/06,7.034563818
2018/5/07,7.121304049
2018/5/08,7.156836488
2018/5/09,7.134876818
2018/5/10,7.049357527
2018/5/11,7.025139352
2018/5/12,7.002580434
2018/5/13,7.029503793
2018/5/14,7.072308786
2018/5/15,7.116100521
2018/5/16,7.151195462
2018/5/17,7.190236049
2018/5/18,7.216601754
2018/5/19,7.33651385
2018/5/20,7.343980112
2018/5/21,7.351151627
2018/5/22,7.327643119
2018/5/23,7.36080866
2018/5/24,7.410650644
2018/5/25,7.435065474
2018/5/26,7.361246557
2018/5/27,7.45752462
2018/5/28,7.593547587
2018/5/29,7.704726665
2018/5/31,7.866992757
2018/6/01,7.956651532
2018/6/02,8.411909073
2018/6/03,8.874194113
2018/6/04,9.423010468
2018/6/05,9.434469099
2018/6/06,9.459599519
2018/6/07,9.488846045
2018/6/08,9.807907099
2018/6/09,9.594392198
2018/6/10,9.301660652
2018/6/11,8.822547154
2018/6/12,8.824820941
2018/6/13,8.716275938
2018/6/14,8.642161563
2018/6/15,8.408296857
2018/6/16,8.360265474
2018/6/17,8.359172537
2018/6/18,8.435862627
2018/6/19,8.57554668
2018/6/20,8.729076577
2018/6/21,8.832022994
2018/6/22,8.973364784
2018/6/23,9.113965867
2018/6/24,9.26455708
2018/6/25,9.332137795
2018/6/26,9.379456511
2018/6/27,9.520204409
2018/6/28,9.67094219
2018/6/29,9.59516015
2018/6/30,9.406017465
2018/7/01,9.236350186
2018/7/02,9.116330081
2018/7/03,9.025036999
2018/7/04,8.91301104
2018/7/05,8.781987645
2018/7/06,8.73097826
2018/7/07,8.714900554
2018/7/08,8.785836037
2018/7/09,8.921651597
2018/7/10,9.045238201
2018/7/11,9.113463277
2018/7/12,9.17428789
2018/7/13,9.271322553
2018/7/14,9.370866035
2018/7/15,9.373544564
2018/7/16,9.252547004
2018/7/17,9.070174712
2018/7/18,8.959286506
2018/7/19,8.836607356
2018/7/20,8.842359411
2018/7/21,8.952937358
2018/7/22,9.156290396
2018/7/23,9.331456824
2018/7/24,9.639362767
2018/7/25,9.639362767
2018/7/26,9.978224755
2018/7/27,10.17167917
2018/7/28,10.23252586
2018/7/29,9.853014775
2018/7/30,9.872792512
2018/7/31,9.921478397
2018/8/01,10.0231634
2018/8/02,10.06990739
2018/8/03,10.02288371
2018/8/04,10.0824512
2018/8/05,10.54323712
2018/8/06,10.74256189
2018/8/07,10.97534425
2018/8/08,11.01254973
2018/8/09,10.97228868
2018/8/10,10.98752963
2018/8/11,10.98488866
2018/8/12,11.00394262
2018/8/13,10.93767487
2018/8/14,11.0870753
2018/8/15,11.23134757
2018/8/16,11.35330628
2018/8/17,11.47801454
2018/8/18,11.58943866
2018/8/19,11.69269219
2018/8/20,11.82485206
2018/8/21,11.69358098
2018/8/22,11.57291497
2018/8/23,11.56412018
2018/8/24,11.59212843
2018/8/25,11.62643476
2018/8/26,11.57775738
2018/8/27,11.55153147
2018/8/28,11.58680362
2018/8/29,11.79291611
2018/8/30,12.08528256
2018/8/31,12.30049191
2018/9/01,12.4080135
2018/9/02,12.46070445
2018/9/03,12.49397122
2018/9/04,12.46983546
2018/9/05,12.35602431
2018/9/06,12.08402174
2018/9/07,11.79226607
2018/9/08,11.73323201
2018/9/09,11.71908265
2018/9/10,11.79659783
2018/9/11,11.8768358
2018/9/12,11.96523396
2018/9/13,12.14007426
2018/9/14,12.36853172
2018/9/15,12.44129903
2018/9/16,12.49067962
2018/9/17,12.38476038
2018/9/18,12.25384593
2018/9/19,12.08027509
2018/9/20,11.98221746
2018/9/21,11.9524484
2018/9/22,11.92099673
2018/9/23,11.99307262
2018/9/24,12.09264243
2018/9/25,12.23226718
2018/9/26,12.45296067
2018/9/27,12.64904552
2018/9/28,12.80477792
2018/9/29,12.84377259
2018/9/30,12.81373059
2018/10/01,12.82586931
2018/10/02,12.93420298
2018/10/03,12.9773478
2018/10/04,12.94289821
2018/10/05,12.86447008
2018/10/06,12.88872156
2018/10/07,12.89939601
2018/10/08,12.80341158
2018/10/09,12.62500551
2018/10/10,12.42964495
2018/10/11,12.28259311
2018/10/12,12.14140782
2018/10/13,12.11593169
2018/10/14,12.18489085
2018/10/15,12.29797851
2018/10/16,12.25504977
2018/10/17,12.28335594
2018/10/18,12.32675349
2018/10/19,12.46010322
2018/10/20,12.42293791
2018/10/21,12.2448951
2018/10/22,12.11546691
2018/10/23,12.17495275
2018/10/24,12.23648242
2018/10/25,12.30889024
2018/10/26,12.18987652
2018/10/27,12.02327854
2018/10/28,11.9450468
2018/10/29,11.98269575
2018/10/30,12.01752962
2018/10/31,11.96003352
2018/11/01,11.85164727
2018/11/02,11.97662049
2018/11/03,12.1593159
2018/11/04,12.49381488
2018/11/05,12.62963343
2018/11/06,12.55960607
2018/11/07,12.53836729
2018/11/08,12.49396878
2018/11/09,12.36019637
2018/11/10,12.18475833
2018/11/11,11.78492832
2018/11/12,11.40084385
2018/11/13,11.30465359
2018/11/14,11.27043784
2018/11/15,11.30893043
2018/11/16,11.23681475
2018/11/17,11.22818636
2018/11/18,11.31269293
2018/11/19,11.30779593
2018/11/20,11.18536054
2018/11/21,11.01949377
2018/11/22,10.76592401
2018/11/23,10.55657424
2018/11/24,10.36002167
